idf_rank,term,idf,doc_freq,doc_freq%
405,red_onions,6.412326570078001,928,0.66
406,fresh_strawberries,6.3995672263242405,390,0.28
407,salt water,6.3995672263242405,545,0.39
408,cinnamon salt,6.397983694718596,316,0.23
409,brown_sugar butter,6.391674525525332,733,0.52
410,eggs salt,6.388534805520664,310,0.22
411,garlic_cloves salt,6.3869686344879195,344,0.25
412,fresh_garlic,6.377622772069682,1241,0.89
413,white_bread,6.377622772069682,659,0.47
414,plum_tomatoes,6.376073585082852,778,0.56
415,dry_breadcrumbs,6.374526794364553,490,0.35
416,garlic_powder onion_powder,6.369900725975771,454,0.33
417,coarse_salt,6.368363446656885,363,0.26
418,elbow_macaroni,6.366828526938801,407,0.29
419,olive_oil garlic,6.363765737408255,2451,1.76
420,light_corn_syrup,6.357668157540137,608,0.44
421,garlic_cloves olive_oil,6.356149554362947,3206,2.3
422,sliced_almonds,6.354633253844983,517,0.37
423,jalapeno,6.354633253844983,432,0.31
424,clove,6.353119249013767,315,0.23
425,applesauce,6.351607532928446,1611,1.15
426,vanilla_ice_cream,6.345583418325065,360,0.26
427,onion butter,6.345583418325065,393,0.28
428,ground_pepper,6.3395953764804425,504,0.36
429,milk eggs,6.338103951893772,3936,2.82
430,low_sodium_chicken_broth,6.33068001282249,1258,0.9
431,spaghetti,6.33068001282249,576,0.41
432,milk salt,6.329201815953179,8487,6.08
433,unsweetened_cocoa_powder,6.320378229294664,472,0.34
434,flat_leaf_parsley,6.315995461139569,429,0.31
435,celery onion,6.315995461139569,375,0.27
436,pork_chops,6.305843089675551,358,0.26
437,slivered_almonds,6.301523428531034,324,0.23
438,boiled_eggs,6.301523428531034,1137,0.81
439,hard boiled_eggs,6.301523428531034,1158,0.83
440,crushed_tomatoes,6.30008767810493,1007,0.72
441,dried_rosemary,6.290094732707412,1788,1.28
442,blue_cheese,6.2844289951717345,657,0.47
443,sugar egg,6.283017562333327,375,0.27
444,spinach,6.27599012652587,316,0.23
445,vanilla flour,6.273192921904808,317,0.23
446,fish_sauce,6.271797248265834,435,0.31
447,of_fresh_mint,6.263463866706689,1334,0.96
448,hot_pepper_sauce,6.262081696479737,543,0.39
449,sugar flour,6.256572040668768,2212,1.58
450,onion green_pepper,6.253828554723017,373,0.27
451,icing_sugar,6.248364060250938,587,0.42
452,egg_yolk,6.241575167917253,417,0.3
453,fresh_spinach,6.236177044147695,448,0.32
454,dry_sherry,6.236177044147695,375,0.27
455,frozen_chopped_spinach,6.232147488661694,418,0.3
456,prepared_mustard,6.228134105348235,2468,1.77
457,strawberries,6.226799882335098,401,0.29
458,vegetable_stock,6.222807861065561,675,0.48
459,blueberries,6.217509835428006,521,0.37
460,plain_flour,6.212239731003768,326,0.23
461,butter milk,6.204386287498198,330,0.24
462,white_onion,6.20178211935981,410,0.29
463,boneless_skinless_chicken_breast,6.195301215275727,1201,0.86
464,jalapeno_pepper,6.188862042994706,3140,2.25
465,cool_whip,6.1799162964362475,334,0.24
466,salt fresh_ground_pepper,6.1799162964362475,382,0.27
467,eggs vanilla_extract,6.1799162964362475,5395,3.86
468,vodka,6.178644840448051,377,0.27
469,chickpeas,6.178644840448051,391,0.28
470,dried_cranberries,6.1710498672306064,16027,11.48
471,sweet_onion,6.167273903021071,933,0.67
472,sugar water,6.164764491415645,531,0.38
473,flour milk,6.1635121430991795,670,0.48
474,fresh_chives,6.162261361197527,409,0.29
475,dried_parsley,6.1560308114468905,676,0.48
476,whipped_cream,6.153549420595505,491,0.35
477,olive_oil salt,6.153549420595505,466,0.33
478,yeast,6.152311030344359,322,0.23
479,salt milk,6.14983884119897,371,0.27
480,ricotta_cheese,6.147372748703776,311,0.22
481,ground_allspice,6.144912722862914,1034,0.74
482,white_wine_vinegar,6.1351326938092745,1738,1.24
483,mustard,6.1302783153444755,313,0.22
484,gingerroot,6.126652933730159,3042,2.18
485,apple_cider_vinegar,6.115854988383371,499,0.36
486,onion garlic_clove,6.114662382398248,1200,0.86
487,pure_vanilla_extract,6.114662382398248,1558,1.12
488,beer,6.113471197028095,825,0.59
489,salt ground_black_pepper,6.113471197028095,373,0.27
490,salt baking_powder,6.113471197028095,384,0.27
491,vegetable_broth,6.102813902554106,346,0.25
492,cooking_oil,6.1016367393810915,507,0.36
493,rosemary,6.1016367393810915,405,0.29
494,eggs flour,6.1016367393810915,3741,2.68
495,red_potatoes,6.092268989377492,1508,1.08
496,water sugar,6.088778584437724,601,0.43
497,bread_flour,6.085300320061399,476,0.34
498,sweet_potatoes,6.084143581933574,722,0.52
499,purpose_flour sugar,6.077231112012951,6204,4.44
500,rice,6.0760836649564745,416,0.3
501,red_wine,6.074937533025852,356,0.25
502,hard,6.072649202507839,334,0.24
503,green_beans,6.070366096493271,19582,14.02
504,crushed_pineapple,6.065815462929274,579,0.41
505,ground_beef onion,6.056775853351549,653,0.47
506,coconut,6.0522865079889545,949,0.68
507,fresh_dill,6.047817226806658,378,0.27
508,corn,6.044478325541143,1743,1.25
509,bell_pepper,6.032330191605496,489,0.35
510,quick,6.027949023589933,806,0.58
511,purpose_flour baking_soda,6.022499418822368,320,0.23
512,sun,6.021413052610147,23874,17.1
513,orange_zest,6.02032786530886,665,0.48
514,orange,6.019243854362602,500,0.36
515,pineapple_juice,6.01816101722377,349,0.25
516,cocoa_powder,6.013841356079253,1073,0.77
517,ice,6.012764350051616,1559,1.12
518,broccoli,6.011688502718153,838,0.6
519,potato,6.011688502718153,2479,1.78
520,frozen_peas,6.00846788801811,475,0.34
521,milk butter,6.007396650636611,729,0.52
522,rice_vinegar,6.006326559576767,362,0.26
523,coconut_milk,6.005257612387862,566,0.41
524,apple,6.005257612387862,321,0.23
525,allspice,6.0031231398592295,2250,1.61
526,cherry_tomatoes,5.999929949280074,493,0.35
527,almonds,5.9978068062319965,396,0.28
528,salt baking_soda,5.996746922719954,5881,4.21
